No.,문항,구분
1,주기적으로 새로운 친구를 사귄다.,16 Personalities
2,단순하고 직관적인 아이디어보다는 복잡하고 참신한 아이디어에 흥미를 느낀다.,16 Personalities
3,일반적으로 사실에 기반한 주장보다 감정적으로 공감 가는 내용이 더 설득력 있다고 느낀다.,16 Personalities
4,생활 공간과 업무 공간이 깨끗하게 정돈되어 있다.,16 Personalities
5,압박감이 심한 환경에서도 평정심을 유지하는 편이다.,16 Personalities
6,모르는 사람과 관계를 맺거나 남에게 나를 알리는 것은 매우 부담스럽다.,16 Personalities
7,"효과적으로 작업을 계획하고 우선순위를 정하며, 마감 기한보다 훨씬 일찍 작업을 완료할 때가 많다.",16 Personalities
8,숫자나 데이터보다는 사람들의 이야기와 감정이 마음에 더 와닿는다.,16 Personalities
9,일정이나 목록 등 일을 체계화할 수 있는 도구를 사용하는 것을 좋아한다.,16 Personalities
10,작은 실수로도 나의 능력이나 지식을 의심할 때가 있다.,16 Personalities
11,관심이 가는 사람에게 다가가서 대화를 시작하는 것이 불편하지 않다.,16 Personalities
12,창작물의 다양한 해석에 대해 토론하는 것에는 큰 관심이 없다.,16 Personalities
13,행동 계획을 결정할 때 사람들의 감정보다는 사실을 우선한다.,16 Personalities
14,계획 없이 하루를 보낼 때가 많다.,16 Personalities
15,다른 사람에게 내가 어떤 사람으로 보일지 걱정하는 경우는 드물다.,16 Personalities
16,팀 기반 활동에 참여하는 것을 좋아한다.,16 Personalities
17,새롭고 검증되지 않은 방법을 실험하는 것을 좋아한다.,16 Personalities
18,100% 솔직한 사람이 되기보다는 세심한 사람이 되는 것을 우선시한다.,16 Personalities
19,탐구할 만한 지식 분야와 새로운 경험을 적극적으로 추구한다.,16 Personalities
20,일이 잘못될까봐 자주 걱정하는 편이다.,16 Personalities
21,단체 활동보다 혼자서 하는 취미나 활동을 더 좋아한다.,16 Personalities
22,내가 소설가로 일하는 모습은 상상할 수 없다.,16 Personalities
23,감정적 측면을 다소 무시하더라도 의사 결정의 효율성을 중시한다.,16 Personalities
24,휴식을 취하기 전에 먼저 해야 할 일을 마치는 것을 선호한다.,16 Personalities
25,의견 차이가 존재하는 경우에는 다른 사람의 감정을 지켜주기보다는 나의 주장을 입증하는 것을 우선시한다.,16 Personalities
26,일반적으로 사교 모임에서는 다른 사람들이 먼저 다가오기를 기다린다.,16 Personalities
27,감정이 매우 빠르게 변할 때가 있다.,16 Personalities
28,감정적인 논쟁에 쉽게 동요하지 않는다.,16 Personalities
29,해야 할 일을 마지막까지 미룰 때가 많다.,16 Personalities
30,윤리적 딜레마에 대해 토론하는 것을 좋아한다.,16 Personalities
31,일반적으로 혼자 있는 것보다는 다른 사람과 어울리는 것을 선호한다.,16 Personalities
32,논의가 지나치게 이론적으로 진행되면 지루해 하거나 흥미를 잃는다.,16 Personalities
33,사실과 감정이 충돌할 때는 감정에 따라 행동하는 편이다.,16 Personalities
34,업무나 학업 일정을 일관성 있게 유지하는 것이 어렵다.,16 Personalities
35,이미 내린 결정에 대해서 다시 생각하는 경우는 드물다.,16 Personalities
